URL: https://www.kellytarltons.co.nz/auckland/plan-your-day/information/school-holidays-activities/underwater-superheroes/, Size: 179196 bytes, Status: 200, Depth: 16, Time: 2024-09-23 15:06:10
URL: https://www.kellytarltons.co.nz/auckland/tickets-passes/tickets/general-admission/, Size: 179196 bytes, Status: 200, Depth: 17, Time: 2024-09-23 15:06:12
URL: https://www.kellytarltons.co.nz/auckland/information/jobs/, Size: 179196 bytes, Status: 200, Depth: 17, Time: 2024-09-23 15:06:12
URL: https://www.kellytarltons.co.nz/auckland/information/media-contacts/, Size: 179196 bytes, Status: 200, Depth: 17, Time: 2024-09-23 15:06:14
URL: https://www.kellytarltons.co.nz/auckland/information/donation-requests/, Size: 179196 bytes, Status: 200, Depth: 18, Time: 2024-09-23 15:06:18
URL: https://www.kellytarltons.co.nz/auckland/policies/terms-conditions/, Size: 179196 bytes, Status: 200, Depth: 19, Time: 2024-09-23 15:06:21
URL: https://www.scoop.co.nz/robots/bad-robot.html, Size: 0 bytes, Status: Blocked by robots.txt, Depth: 1, Time: 2024-09-23 15:06:21
URL: https://www.scoop.co.nz/, Size: 88127 bytes, Status: 200, Depth: 1, Time: 2024-09-23 15:06:21
URL: https://www.scoop.co.nz/?from=top-banner-purotu-1, Size: 88127 bytes, Status: 200, Depth: 1, Time: 2024-09-23 15:06:21
URL: https://www.scoop.co.nz/about/about.html, Size: 38859 bytes, Status: 200, Depth: 1, Time: 2024-09-23 15:06:21
URL: https://www.scoop.co.nz/about/contact.html, Size: 33482 bytes, Status: 200, Depth: 1, Time: 2024-09-23 15:06:21
URL: https://www.kellytarltons.co.nz/auckland/policies/privacy-policy/, Size: 179196 bytes, Status: 200, Depth: 18, Time: 2024-09-23 15:06:22
URL: https://www.qualmark.co.nz/, Size: 25248 bytes, Status: 200, Depth: 19, Time: 2024-09-23 15:06:23
URL: http://wellington.scoop.co.nz, Size: 0 bytes, Status: Blocked by robots.txt, Depth: 2, Time: 2024-09-23 15:06:32
URL: http://business.scoop.co.nz, Size: 0 bytes, Status: Blocked by robots.txt, Depth: 2, Time: 2024-09-23 15:06:34
URL: http://pacific.scoop.co.nz, Size: 0 bytes, Status: Blocked by robots.txt, Depth: 2, Time: 2024-09-23 15:06:34
URL: http://community.scoop.co.nz, Size: 0 bytes, Status: Blocked by robots.txt, Depth: 2, Time: 2024-09-23 15:06:35
URL: http://books.scoop.co.nz, Size: 0 bytes, Status: Blocked by robots.txt, Depth: 2, Time: 2024-09-23 15:06:35
URL: https://wellington.scoop.co.nz/?p=164027, Size: 0 bytes, Status: Blocked by robots.txt, Depth: 2, Time: 2024-09-23 15:06:36
URL: https://info.scoop.co.nz, Size: 53248 bytes, Status: 200, Depth: 2, Time: 2024-09-23 15:06:36
URL: https://thedig.nz, Size: 344120 bytes, Status: 200, Depth: 2, Time: 2024-09-23 15:06:36
URL: https://www.scoop.co.nz/stories/AK2409/S00681/new-zealands-freshwater-health-under-pressure-from-human-activity.htm, Size: 62060 bytes, Status: 200, Depth: 2, Time: 2024-09-23 15:06:36
URL: https://www.scoop.co.nz/stories/PA2409/S00207/new-details-of-phillip-mehrtens-first-hours-of-freedom.htm, Size: 58778 bytes, Status: 200, Depth: 2, Time: 2024-09-23 15:06:36
URL: https://www.scoop.co.nz/stories/BU2409/S00339/kiwifruit-exports-having-golden-season.htm, Size: 53486 bytes, Status: 200, Depth: 2, Time: 2024-09-23 15:06:36
URL: https://www.scoop.co.nz/stories/AK2409/S00695/police-remembrance-day-this-friday-27-september.htm, Size: 58896 bytes, Status: 200, Depth: 2, Time: 2024-09-23 15:06:36
5:06:36

URL: https://www.scoop.co.nz/stories/HL2409/S00031/gordon-campbell-on-new-zealands-timid-reluctance-to-tax-the-rich.htm, Size: 54039 bytes, Status: 200, Depth: 2, Time: 2024-09-23 15:06:37
URL: https://www.scoop.co.nz/stories/PA2409/S00204/action-taken-on-sale-of-nitrous-oxide-for-recreation.htm, Size: 61477 bytes, Status: 200, Depth: 2, Time: 2024-09-23 15:06:37
URL: https://www.scoop.co.nz/about/submit.html?source=RHS, Size: 39382 bytes, Status: 200, Depth: 2, Time: 2024-09-23 15:06:37
URL: https://www.scoop.co.nz/news/health.html, Size: 91416 bytes, Status: 200, Depth: 2, Time: 2024-09-23 15:06:37
URL: https://www.scoop.co.nz/news/scoops.html, Size: 82209 bytes, Status: 200, Depth: 2, Time: 2024-09-23 15:06:37
URL: https://www.scoop.co.nz/news/education.html, Size: 89268 bytes, Status: 200, Depth: 2, Time: 2024-09-23 15:06:37
URL: https://www.scoop.co.nz/news/parliament.html, Size: 90252 bytes, Status: 200, Depth: 2, Time: 2024-09-23 15:06:37
URL: https://www.scoop.co.nz/news/politics.html, Size: 94128 bytes, Status: 200, Depth: 2, Time: 2024-09-23 15:06:37
URL: https://www.scoop.co.nz/news/world.html, Size: 94982 bytes, Status: 200, Depth: 2, Time: 2024-09-23 15:06:37
URL: https://www.scoop.co.nz/news/sci-tech.html, Size: 89125 bytes, Status: 200, Depth: 2, Time: 2024-09-23 15:06:37
URL: https://www.scoop.co.nz/news/regional.html, Size: 90188 bytes, Status: 200, Depth: 2, Time: 2024-09-23 15:06:37
URL: https://www.scoop.co.nz/news/culture.html, Size: 88872 bytes, Status: 200, Depth: 2, Time: 2024-09-23 15:06:38
URL: https://www.scoop.co.nz/stories/PA2409/S00212/new-work-from-home-guidance-for-public-service.htm, Size: 59422 bytes, Status: 200, Depth: 3, Time: 2024-09-23 15:06:38
URL: https://www.scoop.co.nz/stories/AK2409/S00669/poor-health-outcomes-for-children-are-entirely-preventable-chief-childrens-commissioner.htm, Size: 62450 bytes, Status: 200, Depth: 3, Time: 2024-09-23 15:06:38
URL: https://www.scoop.co.nz/stories/AK2409/S00708/resource-management-reform-announcement-is-a-start-but-framing-lacks-coherence.htm, Size: 59591 bytes, Status: 200, Depth: 3, Time: 2024-09-23 15:06:38
URL: https://info.scoop.co.nz/New_Zealand_Labour_Party, Size: 54504 bytes, Status: 200, Depth: 3, Time: 2024-09-23 15:06:38
URL: https://foundation.scoop.co.nz/?source=SPW, Size: 0 bytes, Status: Blocked by robots.txt, Depth: 3, Time: 2024-09-23 15:06:38
URL: https://www.scoop.co.nz/stories/PA2409/S00216/govt-forgetting-the-6000-jobs-theyve-cut.htm, Size: 58044 bytes, Status: 200, Depth: 3, Time: 2024-09-23 15:06:38
URL: https://www.scoop.co.nz/stories/PA2409/S00217/first-of-its-kind-trilateral-trade-meeting-held-to-celebrate-pacific-partnership.htm, Size: 58441 bytes, Status: 200, Depth: 3, Time: 2024-09-23 15:06:38
URL: https://www.scoop.co.nz/stories/PA2409/S00198/coalition-cooking-up-costly-rma-replacement.htm, Size: 58326 bytes, Status: 200, Depth: 3, Time: 2024-09-23 15:06:38
URL: https://www.scoop.co.nz/stories/AK2409/S00672/young-ocean-champions-called-to-join-global-conversation-on-ocean-protection.htm, Size: 60489 bytes, Status: 200, Depth: 3, Time: 2024-09-23 15:06:38
URL: https://www.scoop.co.nz/news/business.html, Size: 90586 bytes, Status: 200, Depth: 2, Time: 2024-09-23 15:06:38
URL: http://www.scoop.co.nz/sections/nzpolitics.html, Size: 53946 bytes, Status: 200, Depth: 3, Time: 2024-09-23 15:06:39
URL: https://www.scoop.co.nz/stories/PO2409/S00065/restoring-a-culture-of-free-speech-essential-to-rebuilding-public-confidence.htm, Size: 60049 bytes, Status: 200, Depth: 3, Time: 2024-09-23 15:06:39
URL: https://www.scoop.co.nz/stories/PA2409/S00215/govt-undermines-public-service-with-wfh-crackdown.htm, Size: 58778 bytes, Status: 200, Depth: 3, Time: 2024-09-23 15:06:39
URL: https://info.scoop.co.nz/Green_Party, Size: 54381 bytes, Status: 200, Depth: 4, Time: 2024-09-23 15:06:41
URL: https://info.scoop.co.nz/ACT_New_Zealand, Size: 54684 bytes, Status: 200, Depth: 5, Time: 2024-09-23 15:06:41
URL: https://www.scoop.co.nz/stories/PA2409/S00214/flexible-by-default-the-grand-illusion-is-over.htm, Size: 58292 bytes, Status: 200, Depth: 4, Time: 2024-09-23 15:06:41
URL: https://info.scoop.co.nz/New_Zealand_Government, Size: 54906 bytes, Status: 200, Depth: 6, Time: 2024-09-23 15:06:41
